id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
514500,urban,1,0.23,60,dim,clear,True,True,morning,False,True,2,0.3
514501,rural,2,0.04,45,dim,rainy,True,True,afternoon,False,True,2,0.06
514502,highway,2,0.93,35,daylight,clear,True,True,morning,False,True,0,0.28
514503,rural,1,0.82,60,night,foggy,True,False,evening,False,True,3,0.84
514504,rural,2,0.99,70,daylight,clear,False,True,afternoon,True,False,2,0.58
514505,highway,4,0.56,25,night,rainy,False,False,morning,False,True,4,0.53
514506,urban,3,0.4,45,night,clear,False,False,morning,False,True,0,0.3
514507,urban,2,0.46,25,night,rainy,False,True,afternoon,True,False,2,0.43
514508,highway,3,0.07,35,night,rainy,False,True,evening,True,False,2,0.24
514509,rural,4,0.56,60,night,foggy,False,True,afternoon,True,False,2,0.62
514510,rural,1,0.36,25,daylight,foggy,False,False,evening,False,True,0,0.23
514511,highway,1,0.4,45,dim,clear,False,True,afternoon,False,False,2,0.17
514512,rural,1,0.97,60,night,foggy,True,True,morning,True,False,1,0.78
514513,highway,2,0.07,35,daylight,rainy,True,True,afternoon,True,False,1,0.19
514514,urban,1,0.67,60,daylight,clear,False,False,evening,False,False,1,0.47
514515,highway,4,0.92,60,dim,foggy,True,False,morning,True,False,0,0.51
514516,highway,3,0.39,60,daylight,foggy,False,True,afternoon,False,True,0,0.51
514517,rural,1,0.91,60,night,foggy,True,True,evening,False,False,3,0.89
514518,rural,1,0.71,35,night,clear,False,False,afternoon,True,False,1,0.56
514519,urban,2,0.02,45,night,rainy,False,False,evening,True,False,0,0.35
514520,rural,1,0.89,45,daylight,foggy,False,False,morning,True,True,2,0.36
514521,highway,4,0.22,35,dim,clear,False,False,evening,False,False,1,0.07
514522,highway,3,0.37,60,daylight,rainy,False,False,afternoon,True,False,2,0.53
514523,urban,1,0.8,25,night,foggy,True,True,evening,True,True,1,0.49
514524,urban,2,0.91,70,daylight,foggy,False,True,morning,True,True,0,0.54
514525,urban,1,0.95,60,dim,clear,False,True,morning,True,False,1,0.56
514526,rural,2,0.86,35,daylight,rainy,True,False,afternoon,True,False,3,0.41
514527,urban,1,0.69,60,daylight,clear,False,False,morning,True,False,2,0.4
514528,urban,4,0.37,25,night,foggy,False,True,afternoon,False,False,0,0.45
514529,highway,3,0.63,25,dim,clear,False,True,morning,True,True,1,0.18
514530,highway,4,0.59,45,daylight,rainy,False,True,morning,True,False,-4,0.32
514531,highway,4,0.92,25,dim,clear,False,True,evening,False,False,1,0.38
514532,highway,4,0.25,25,dim,rainy,False,False,afternoon,False,False,2,0.11
514533,rural,1,0.71,60,night,clear,True,True,evening,False,False,1,0.63
514534,urban,4,0.01,35,daylight,clear,False,False,afternoon,True,True,2,0.02
514535,highway,4,0.35,35,daylight,rainy,True,False,evening,False,True,1,0.26
514536,urban,3,0.21,45,dim,clear,True,True,morning,False,False,1,0.07
514537,urban,2,0.16,35,night,rainy,False,True,afternoon,True,False,0,0.34
514538,highway,2,0.44,45,dim,rainy,False,True,morning,False,False,1,0.27
514539,urban,1,0.57,25,night,rainy,True,True,evening,True,True,-5,0.57
514540,urban,4,0.46,25,night,rainy,True,False,morning,False,True,0,0.46
514541,rural,4,0.28,25,daylight,rainy,False,False,evening,False,False,2,0.22
514542,urban,2,0.76,60,dim,rainy,True,False,evening,True,True,0,0.45
514543,rural,4,0.31,35,daylight,clear,True,False,afternoon,False,True,1,0.06
514544,urban,2,0.29,70,dim,rainy,False,True,evening,False,True,2,0.39
514545,urban,3,0.43,70,night,clear,False,False,evening,False,False,1,0.49
514546,highway,1,0.04,35,daylight,rainy,True,False,afternoon,False,False,2,0.23
514547,highway,1,0.4,35,dim,rainy,False,False,morning,True,True,0,0.19
514548,urban,1,0.78,60,night,foggy,True,False,afternoon,False,True,1,0.7
514549,highway,2,0.22,25,daylight,foggy,False,False,morning,False,False,2,0.17
